,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Final Equity,Avg Turnover
Route Engine,0.10119412436978183,0.1891319281112625,0.5350451686309218,0.647423160523728,-0.34595145004270544,2.7454182293364875,0.037846944577933514
SPY (buy & hold),0.12249514790049593,0.1767934792532971,0.6928714136848543,0.8201377064204891,-0.33717246802319456,3.3957376734524405,
Equal weight,0.11534538273380808,0.1926869741887514,0.5986153616217907,0.7200943591943674,-0.3758345064632279,3.1618750708584114,
